1784822758.324106 server started (54747): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1784822758.324121 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1784822758.324123 using libevent 2.1.12-stable poll
1784822758.324124 using ncurses 6.4 20240113
1784822758.324193 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1784822758.324194 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1784822758.324194 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1784822758.324195 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1784822758.324195 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1784822758.324196 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1784822758.324197 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1784822758.324197 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1784822758.324198 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1784822758.324199 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1784822758.324200 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1784822758.324201 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1784822758.324201 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1784822758.324202 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1784822758.324203 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1784822758.324203 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1784822758.324204 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1784822758.324204 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1784822758.324205 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1784822758.324206 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1784822758.324206 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1784822758.324207 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1784822758.324208 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1784822758.324208 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1784822758.324209 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1784822758.324210 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1784822758.324210 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1784822758.324211 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1784822758.324212 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1784822758.324212 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1784822758.324213 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1784822758.324214 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1784822758.324214 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1784822758.324215 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1784822758.324215 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1784822758.324216 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1784822758.324217 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1784822758.324217 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1784822758.324218 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1784822758.324219 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1784822758.324219 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1784822758.324220 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1784822758.324221 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1784822758.324221 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1784822758.324222 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1784822758.324223 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1784822758.324224 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1784822758.324224 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1784822758.324225 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1784822758.324226 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1784822758.324226 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1784822758.324227 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1784822758.324228 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1784822758.324228 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1784822758.324229 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1784822758.324231 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1784822758.324231 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1784822758.324232 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1784822758.324233 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1784822758.324234 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1784822758.324234 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1784822758.324235 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1784822758.324236 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1784822758.324236 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1784822758.324237 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1784822758.324238 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1784822758.324239 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1784822758.324239 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1784822758.324240 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1784822758.324241 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1784822758.324241 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1784822758.324242 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1784822758.324243 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1784822758.324244 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1784822758.324245 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1784822758.324245 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1784822758.324246 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1784822758.324247 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1784822758.324247 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1784822758.324248 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1784822758.324249 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1784822758.324249 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1784822758.324250 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1784822758.324251 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1784822758.324252 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1784822758.324252 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1784822758.324253 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1784822758.324254 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1784822758.324254 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1784822758.324255 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1784822758.324256 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1784822758.324256 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1784822758.324257 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1784822758.324258 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1784822758.324258 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1784822758.324259 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1784822758.324260 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1784822758.324260 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1784822758.324261 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1784822758.324262 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1784822758.324262 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1784822758.324263 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1784822758.324264 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1784822758.324264 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1784822758.324265 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1784822758.324266 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1784822758.324267 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1784822758.324267 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1784822758.324268 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1784822758.324270 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1784822758.324270 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1784822758.324271 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1784822758.324272 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1784822758.324272 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1784822758.324273 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1784822758.324274 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1784822758.324274 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1784822758.324275 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1784822758.324276 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1784822758.324277 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1784822758.324277 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1784822758.324278 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1784822758.324279 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1784822758.324279 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1784822758.324281 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1784822758.324281 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1784822758.324282 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1784822758.324283 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1784822758.324284 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1784822758.324284 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1784822758.324285 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1784822758.324286 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1784822758.324286 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1784822758.324287 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1784822758.324288 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1784822758.324288 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1784822758.324289 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1784822758.324290 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1784822758.324290 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1784822758.324291 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1784822758.324292 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1784822758.324293 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1784822758.324293 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1784822758.324294 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1784822758.324295 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1784822758.324295 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1784822758.324296 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1784822758.324297 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1784822758.324297 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1784822758.324298 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1784822758.324299 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1784822758.324299 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1784822758.324300 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1784822758.324301 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1784822758.324302 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1784822758.324303 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1784822758.324310 yylex_token: end at WS
1784822758.324310 yylex_token: bind
1784822758.324312 yylex_token: end at WS
1784822758.324313 yylex_token: -N
1784822758.324314 yylex_token: end at WS
1784822758.324315 yylex_token: Send the prefix key
1784822758.324315 yylex_token: end at WS
1784822758.324316 yylex_token: C-b
1784822758.324317 yylex_token: end at WS
1784822758.324317 yylex_token: send-prefix
1784822758.324320 cmd_parse_build_commands 0:0: bind
1784822758.324322 cmd_parse_build_commands 0:1: -N
1784822758.324323 cmd_parse_build_commands 0:2: Send the prefix key
1784822758.324324 cmd_parse_build_commands 0:3: C-b
1784822758.324325 cmd_parse_build_commands 0:4 0:0: send-prefix
1784822758.324329 cmd_parse_build_commands 0:0: send-prefix
1784822758.324332 args_parse: flags end at 1 of 1
1784822758.324334 cmd_parse_build_commands: send-prefix
1784822758.324335 args_parse_flags: next -N
1784822758.324336 args_parse_flag_argument: -N = Send the prefix key
1784822758.324340 args_parse_flags: next C-b
1784822758.324340 args_parse: flags end at 3 of 5
1784822758.324341 args_parse: 3 = C-b (type STRING)
1784822758.324342 args_parse: 4 = send-prefix (type COMMANDS)
1784822758.324348 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1784822758.324351 cmdq_get_command: [bind-key/0x5ec075584e90] group 2
1784822758.324352 cmdq_append <global>: [bind-key/0x5ec075584e90]
1784822758.324354 yylex_token: end at WS
1784822758.324354 yylex_token: bind
1784822758.324355 yylex_token: end at WS
1784822758.324355 yylex_token: -N
1784822758.324356 yylex_token: end at WS
1784822758.324357 yylex_token: Rotate through the panes
1784822758.324358 yylex_token: end at WS
1784822758.324358 yylex_token: C-o
1784822758.324359 yylex_token: end at WS
1784822758.324359 yylex_token: rotate-window
1784822758.324360 cmd_parse_build_commands 0:0: bind
1784822758.324361 cmd_parse_build_commands 0:1: -N
1784822758.324362 cmd_parse_build_commands 0:2: Rotate through the panes
1784822758.324362 cmd_parse_build_commands 0:3: C-o
1784822758.324363 cmd_parse_build_commands 0:4 0:0: rotate-window
1784822758.324364 cmd_parse_build_commands 0:0: rotate-window
1784822758.324365 args_parse: flags end at 1 of 1
1784822758.324366 cmd_parse_build_commands: rotate-window
1784822758.324367 args_parse_flags: next -N
1784822758.324368 args_parse_flag_argument: -N = Rotate through the panes
1784822758.324368 args_parse_flags: next C-o
1784822758.324369 args_parse: flags end at 3 of 5
1784822758.324369 args_parse: 3 = C-o (type STRING)
1784822758.324370 args_parse: 4 = rotate-window (type COMMANDS)
1784822758.324372 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1784822758.324373 cmdq_get_command: [bind-key/0x5ec0755854b0] group 10
1784822758.324374 cmdq_append <global>: [bind-key/0x5ec0755854b0]
1784822758.324375 yylex_token: end at WS
1784822758.324376 yylex_token: bind
1784822758.324376 yylex_token: end at WS
1784822758.324377 yylex_token: -N
1784822758.324378 yylex_token: end at WS
1784822758.324378 yylex_token: Suspend the current client
1784822758.324379 yylex_token: end at WS
1784822758.324379 yylex_token: C-z
1784822758.324380 yylex_token: end at WS
1784822758.324381 yylex_token: suspend-client
1784822758.324381 cmd_parse_build_commands 0:0: bind
1784822758.324382 cmd_parse_build_commands 0:1: -N
1784822758.324383 cmd_parse_build_commands 0:2: Suspend the current client
1784822758.324383 cmd_parse_build_commands 0:3: C-z
1784822758.324384 cmd_parse_build_commands 0:4 0:0: suspend-client
1784822758.324385 cmd_parse_build_commands 0:0: suspend-client
1784822758.324387 args_parse: flags end at 1 of 1
1784822758.324387 cmd_parse_build_commands: suspend-client
1784822758.324388 args_parse_flags: next -N
1784822758.324389 args_parse_flag_argument: -N = Suspend the current client
1784822758.324389 args_parse_flags: next C-z
1784822758.324390 args_parse: flags end at 3 of 5
1784822758.324390 args_parse: 3 = C-z (type STRING)
1784822758.324391 args_parse: 4 = suspend-client (type COMMANDS)
1784822758.324393 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1784822758.324394 cmdq_get_command: [bind-key/0x5ec0755865d0] group 18
1784822758.324394 cmdq_append <global>: [bind-key/0x5ec0755865d0]
1784822758.324395 yylex_token: end at WS
1784822758.324396 yylex_token: bind
1784822758.324396 yylex_token: end at WS
1784822758.324397 yylex_token: -N
1784822758.324397 yylex_token: end at WS
1784822758.324398 yylex_token: Select next layout
1784822758.324400 yylex_token: end at WS
1784822758.324400 yylex_token: Space
1784822758.324401 yylex_token: end at WS
1784822758.324402 yylex_token: next-layout
1784822758.324403 cmd_parse_build_commands 0:0: bind
1784822758.324403 cmd_parse_build_commands 0:1: -N
1784822758.324404 cmd_parse_build_commands 0:2: Select next layout
1784822758.324404 cmd_parse_build_commands 0:3: Space
1784822758.324405 cmd_parse_build_commands 0:4 0:0: next-layout
1784822758.324406 cmd_parse_build_commands 0:0: next-layout
1784822758.324407 args_parse: flags end at 1 of 1
1784822758.324408 cmd_parse_build_commands: next-layout
1784822758.324408 args_parse_flags: next -N
1784822758.324409 args_parse_flag_argument: -N = Select next layout
1784822758.324410 args_parse_flags: next Space
1784822758.324410 args_parse: flags end at 3 of 5
1784822758.324411 args_parse: 3 = Space (type STRING)
1784822758.324412 args_parse: 4 = next-layout (type COMMANDS)
1784822758.324413 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1784822758.324414 cmdq_get_command: [bind-key/0x5ec075586cc0] group 26
1784822758.324415 cmdq_append <global>: [bind-key/0x5ec075586cc0]
1784822758.324416 yylex_token: end at WS
1784822758.324416 yylex_token: bind
1784822758.324417 yylex_token: end at WS
1784822758.324417 yylex_token: -N
1784822758.324418 yylex_token: end at WS
1784822758.324419 yylex_token: Break pane to a new window
1784822758.324419 yylex_token: end at WS
1784822758.324420 yylex_token: !
1784822758.324420 yylex_token: end at WS
1784822758.324421 yylex_token: break-pane
1784822758.324422 cmd_parse_build_commands 0:0: bind
1784822758.324422 cmd_parse_build_commands 0:1: -N
1784822758.324423 cmd_parse_build_commands 0:2: Break pane to a new window
1784822758.324424 cmd_parse_build_commands 0:3: !
1784822758.324424 cmd_parse_build_commands 0:4 0:0: break-pane
1784822758.324425 cmd_parse_build_commands 0:0: break-pane
1784822758.324426 args_parse: flags end at 1 of 1
1784822758.324427 cmd_parse_build_commands: break-pane
1784822758.324427 args_parse_flags: next -N
1784822758.324428 args_parse_flag_argument: -N = Break pane to a new window
1784822758.324428 args_parse_flags: next !
1784822758.324439 args_parse: flags end at 3 of 5
1784822758.324441 args_parse: 3 = ! (type STRING)
1784822758.324443 args_parse: 4 = break-pane (type COMMANDS)
1784822758.324446 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1784822758.324448 cmdq_get_command: [bind-key/0x5ec075587390] group 34
1784822758.324449 cmdq_append <global>: [bind-key/0x5ec075587390]
1784822758.324450 yylex_token: end at WS
1784822758.324451 yylex_token: bind
1784822758.324452 yylex_token: end at WS
1784822758.324452 yylex_token: -N
1784822758.324453 yylex_token: end at WS
1784822758.324454 yylex_token: Split window vertically
1784822758.324454 yylex_token: end at WS
1784822758.324455 yylex_token: "
1784822758.324456 yylex_token: end at WS
1784822758.324456 yylex_token: split-window
1784822758.324458 cmd_parse_build_commands 0:0: bind
1784822758.324458 cmd_parse_build_commands 0:1: -N
1784822758.324459 cmd_parse_build_commands 0:2: Split window vertically
1784822758.324460 cmd_parse_build_commands 0:3: "
1784822758.324460 cmd_parse_build_commands 0:4 0:0: split-window
1784822758.324462 cmd_parse_build_commands 0:0: split-window
1784822758.324463 args_parse: flags end at 1 of 1
1784822758.324464 cmd_parse_build_commands: split-window
1784822758.324465 args_parse_flags: next -N
1784822758.324466 args_parse_flag_argument: -N = Split window vertically
1784822758.324466 args_parse_flags: next "
1784822758.324467 args_parse: flags end at 3 of 5
1784822758.324468 args_parse: 3 = " (type STRING)
1784822758.324468 args_parse: 4 = split-window (type COMMANDS)
1784822758.324470 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1784822758.324471 cmdq_get_command: [bind-key/0x5ec075582c60] group 42
1784822758.324472 cmdq_append <global>: [bind-key/0x5ec075582c60]
1784822758.324473 yylex_token: end at WS
1784822758.324478 yylex_token: bind
1784822758.324479 yylex_token: end at WS
1784822758.324480 yylex_token: -N
1784822758.324480 yylex_token: end at WS
1784822758.324481 yylex_token: List all paste buffers
1784822758.324482 yylex_token: end at WS
1784822758.324482 yylex_token: #
1784822758.324483 yylex_token: end at WS
1784822758.324483 yylex_token: list-buffers
1784822758.324484 cmd_parse_build_commands 0:0: bind
1784822758.324485 cmd_parse_build_commands 0:1: -N
1784822758.324486 cmd_parse_build_commands 0:2: List all paste buffers
1784822758.324486 cmd_parse_build_commands 0:3: #
1784822758.324487 cmd_parse_build_commands 0:4 0:0: list-buffers
1784822758.324488 cmd_parse_build_commands 0:0: list-buffers
1784822758.324489 args_parse: flags end at 1 of 1
1784822758.324490 cmd_parse_build_commands: list-buffers
1784822758.324490 args_parse_flags: next -N
1784822758.324491 args_parse_flag_argument: -N = List all paste buffers
1784822758.324491 args_parse_flags: next #
1784822758.324492 args_parse: flags end at 3 of 5
1784822758.324492 args_parse: 3 = # (type STRING)
1784822758.324493 args_parse: 4 = list-buffers (type COMMANDS)
1784822758.324495 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1784822758.324496 cmdq_get_command: [bind-key/0x5ec0755835d0] group 50
1784822758.324496 cmdq_append <global>: [bind-key/0x5ec0755835d0]
1784822758.324500 yylex_token: end at WS
1784822758.324500 yylex_token: bind
1784822758.324501 yylex_token: end at WS
1784822758.324501 yylex_token: -N
1784822758.324502 yylex_token: end at WS
1784822758.324503 yylex_token: Rename current session
1784822758.324503 yylex_token: end at WS
1784822758.324504 yylex_token: $
